id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
44008,EKCE,heliport,"Cecilie Helideck",56.40211486816406,4.759611129760742,,EU,Denmark,DK,"*Offshore Oil Platforms",DK-XX,XX,,0,EKCE,,,,,,0,2009-04-07T13:12:45+00:00
44009,EKDB,heliport,"Dan B Helideck",55.46903991699219,5.133056163787842,,EU,Denmark,DK,"*Offshore Oil Platforms",DK-XX,XX,,0,EKDB,,,,,,0,2009-04-07T13:12:47+00:00
44010,EKDE,heliport,"Dan E Helideck",55.48064041137695,5.116167068481445,,EU,Denmark,DK,"*Offshore Oil Platforms",DK-XX,XX,,0,EKDE,,,,,,0,2009-04-07T13:12:50+00:00
44011,EKDF,heliport,"Dan F Helideck",55.47809982299805,5.105527877807617,,EU,Denmark,DK,"*Offshore Oil Platforms",DK-XX,XX,,0,EKDF,,,,,,0,2009-04-07T13:12:52+00:00
44012,EKGC,heliport,"Gorm C Helideck",55.57984924316406,4.758889198303223,,EU,Denmark,DK,"*Offshore Oil Platforms",DK-XX,XX,,0,EKGC,,,,,,0,2009-04-07T13:12:54+00:00
44013,EKHA,heliport,"Halfdan A Helideck",55.53085708618164,5.004167079925537,,EU,Denmark,DK,"*Offshore Oil Platforms",DK-XX,XX,,0,EKHA,,,,,,0,2009-04-07T13:12:55+00:00
44014,EKHB,heliport,"Halfdan B Helideck",55.538612365722656,5.033332824707031,,EU,Denmark,DK,"*Offshore Oil Platforms",DK-XX,XX,,0,EKHB,,,,,,0,2009-04-07T13:12:58+00:00
44015,EKHD,heliport,"Harald Helideck",56.344120025634766,4.27191686630249,,EU,Denmark,DK,"*Offshore Oil Platforms",DK-XX,XX,,0,EKHD,,,,,,0,2009-04-07T13:13:00+00:00
44016,EKHR,heliport,"Horns Rev A Helideck",55.508949279785156,7.874917030334473,,EU,Denmark,DK,"*Offshore Oil Platforms",DK-XX,XX,,0,EKHR,,,,,,0,2009-04-07T13:13:02+00:00
44017,EKHN,heliport,"Horns Rev B Helideck",55.60016632080078,7.623805999755859,,EU,Denmark,DK,"*Offshore Oil Platforms",DK-XX,XX,,0,EKHN,,,,,,0,2009-04-07T13:13:04+00:00
